深圳市福田区福华路1号, 深圳福田福华路一号109室
江苏省无锡市南景区红星路金星苑37号1002, 江苏省无锡南景红星路金星苑37#1002
江苏省无锡市崇安区解放西路78号生活大师623室, 江苏省无锡崇安解放西路78号生活大师623室
呼和浩特市新城区新华大街59号, 呼市新城新华大大街五十九号
山东省聊城市东昌府区东昌府路76号, 山东省聊城东昌府东昌府路七十六#
辽宁省大连市中山区昆明街49号, 辽宁省大连中山昆明大街49号
武汉市汉阳经济开发区神龙大道126号绿岛大厦4层, 武汉汉阳经济开发神龙大道126号绿岛大厦4层
云南省昆明市五华区环城南路331号, 云南省昆明五华环城南路331号
山西省吕梁市希石区兴隆路57号, 山西省吕梁希石兴隆路57#
北京市石景山区, 北京石景山首钢宿舍
福州市鼓楼区华林路220号, 福州鼓层华林大道220号
北京市通州区马驹桥, 北京海淀中关村南路33号
上海镇宁路一千○一号湖南大厦, 上海市镇宁路1001＃湖南大厦
上海北京烤鸭黄浦店, 上海市四川火锅福州路店
北京朝阳朝阳大厦1201, 朝阳朝阳县朝阳路12号
浦东浦东南路十二号一栋502, 黄浦区福建南路2号502
中国江苏镇江学院路15号203室, 镇江市学院路15＃＃203＃
津市市中路106弄12号201, 河津市人民路10号
大理建国路云南饭店, 云南香格里拉香格里拉人民政府
湖南岳阳楼红河路一号, 湖南岳阳市岳阳楼区红河路１号
杭州西湖区西湖大道西湖宾馆, 西湖区西湖大道西湖宾馆
上海市金山县通河路15号幸福小区三号楼203, 上海宝山区大场镇南陈路15号
大兴安岭漠河县安远乡宁河村, 黑龙江大兴安岭漠河安远乡宁河村
枣庄市中区河西路15号, 四川内江市市中区观河直街2弄
江西景德镇菜市口路1020号建德大厦6楼, 景德镇菜市口路一千零二十号建德大厦六层
